case_id,category,source_state_id,recovered_state_id,semantic_coverage,semantic_drift,fact_accuracy,relation_accuracy,recovery_accuracy,fact_drift,relation_drift,confidence_drift,evidence_cost,original_fact_count,original_relation_count,recovered_fact_count,recovered_relation_count,matched_fact_count,matched_relation_count,missing_count,hallucination_count,original_unit_count,recovered_unit_count,matched_unit_count,activation_threshold,recovery_min_evidence,preserve_evidence,archive_relations
retention_case_1_exact,exact_preservation,source_exact,recovered_exact,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3,1,3,1,3,1,0,0,4,4,4,0.5,1,False,False
retention_case_2_fact_loss,fact_loss,source_fact_loss,recovered_fact_loss,0.8,0.119,0.75,1.0,0.8,0.25,0.0,0.065,1.2,4,1,3,1,3,1,1,0,5,4,4,0.5,1,False,False
retention_case_3_relation_drift,relation_drift,source_relation_drift,recovered_relation_drift,0.75,0.45,1.0,0.0,0.6,0.0,1.0,0.0,1.5,3,1,3,1,3,0,1,1,4,4,3,0.5,1,False,False
retention_case_4_boundary_hallucination,boundary_hallucination,source_boundary_hallucination,recovered_boundary_hallucination,0.8,0.225,1.0,0.5,0.666667,0.0,0.5,0.0,1.8,3,2,4,1,3,1,1,1,5,5,4,0.5,1,False,False
