observability_id,parameter,value,baseline_value,repeat_index,scenario_label,parameter_drift,successful_transitions,replay_equivalent,runtime_event_count,final_activation,state_consistency,timestamp,observations
phase_i:4:activation_threshold:0.25,activation_threshold,0.25,0.2,4,repeat_4,0.04999999999999999,1,True,1,0.4,1.0,2026-07-14T16:31:23.461489+00:00,"['activation_threshold=0.25', 'transition_success=True', 'final_activation=0.4']"
phase_i:4:activation_threshold:0.3,activation_threshold,0.3,0.2,4,repeat_4,0.09999999999999998,1,True,1,0.4,1.0,2026-07-14T16:31:23.461521+00:00,"['activation_threshold=0.3', 'transition_success=True', 'final_activation=0.4']"
phase_i:4:activation_threshold:0.35,activation_threshold,0.35,0.2,4,repeat_4,0.14999999999999997,1,True,1,0.4,1.0,2026-07-14T16:31:23.461553+00:00,"['activation_threshold=0.35', 'transition_success=True', 'final_activation=0.4']"
phase_i:4:activation_threshold:0.4,activation_threshold,0.4,0.2,4,repeat_4,0.2,1,True,1,0.4,1.0,2026-07-14T16:31:23.461585+00:00,"['activation_threshold=0.4', 'transition_success=True', 'final_activation=0.4']"
phase_i:4:activation_threshold:0.45,activation_threshold,0.45,0.2,4,repeat_4,0.25,1,True,1,0.45,1.0,2026-07-14T16:31:23.461618+00:00,"['activation_threshold=0.45', 'transition_success=True', 'final_activation=0.45']"
phase_i:4:activation_threshold:0.5,activation_threshold,0.5,0.2,4,repeat_4,0.3,1,True,1,0.5,1.0,2026-07-14T16:31:23.461651+00:00,"['activation_threshold=0.5', 'transition_success=True', 'final_activation=0.5']"
phase_i:4:activation_threshold:0.55,activation_threshold,0.55,0.2,4,repeat_4,0.35000000000000003,1,True,1,0.55,1.0,2026-07-14T16:31:23.461683+00:00,"['activation_threshold=0.55', 'transition_success=True', 'final_activation=0.55']"
phase_i:4:activation_threshold:0.6,activation_threshold,0.6,0.2,4,repeat_4,0.39999999999999997,1,True,1,0.6,1.0,2026-07-14T16:31:23.461714+00:00,"['activation_threshold=0.6', 'transition_success=True', 'final_activation=0.6']"
phase_i:4:activation_threshold:0.65,activation_threshold,0.65,0.2,4,repeat_4,0.45,1,True,1,0.65,1.0,2026-07-14T16:31:23.461746+00:00,"['activation_threshold=0.65', 'transition_success=True', 'final_activation=0.65']"
phase_i:4:activation_threshold:0.7,activation_threshold,0.7,0.2,4,repeat_4,0.49999999999999994,1,True,1,0.7,1.0,2026-07-14T16:31:23.461777+00:00,"['activation_threshold=0.7', 'transition_success=True', 'final_activation=0.7']"
phase_i:4:activation_threshold:0.75,activation_threshold,0.75,0.2,4,repeat_4,0.55,1,True,1,0.75,1.0,2026-07-14T16:31:23.461808+00:00,"['activation_threshold=0.75', 'transition_success=True', 'final_activation=0.75']"
phase_i:4:activation_threshold:0.8,activation_threshold,0.8,0.2,4,repeat_4,0.6000000000000001,1,True,1,0.8,1.0,2026-07-14T16:31:23.461839+00:00,"['activation_threshold=0.8', 'transition_success=True', 'final_activation=0.8']"
phase_i:4:activation_threshold:0.85,activation_threshold,0.85,0.2,4,repeat_4,0.6499999999999999,1,True,1,0.85,1.0,2026-07-14T16:31:23.461870+00:00,"['activation_threshold=0.85', 'transition_success=True', 'final_activation=0.85']"
phase_i:4:activation_threshold:0.9,activation_threshold,0.9,0.2,4,repeat_4,0.7,1,True,1,0.9,1.0,2026-07-14T16:31:23.461900+00:00,"['activation_threshold=0.9', 'transition_success=True', 'final_activation=0.9']"
phase_i:4:recovery_min_evidence:1,recovery_min_evidence,1,2,4,repeat_4,1.0,1,True,1,0.8,1.0,2026-07-14T16:31:23.462005+00:00,"['recovery_min_evidence=1', 'transition_success=True', 'evidence_usage_count=1']"
phase_i:4:recovery_min_evidence:2,recovery_min_evidence,2,2,4,repeat_4,0.0,1,True,1,0.8,1.0,2026-07-14T16:31:23.462048+00:00,"['recovery_min_evidence=2', 'transition_success=True', 'evidence_usage_count=2']"
phase_i:4:recovery_min_evidence:3,recovery_min_evidence,3,2,4,repeat_4,1.0,1,True,1,0.8,1.0,2026-07-14T16:31:23.462088+00:00,"['recovery_min_evidence=3', 'transition_success=True', 'evidence_usage_count=3']"
phase_i:4:recovery_min_evidence:4,recovery_min_evidence,4,2,4,repeat_4,2.0,1,True,1,0.8,1.0,2026-07-14T16:31:23.462127+00:00,"['recovery_min_evidence=4', 'transition_success=True', 'evidence_usage_count=4']"
phase_i:4:recovery_min_evidence:5,recovery_min_evidence,5,2,4,repeat_4,3.0,1,True,1,0.8,1.0,2026-07-14T16:31:23.462166+00:00,"['recovery_min_evidence=5', 'transition_success=True', 'evidence_usage_count=5']"
phase_i:4:preserve_evidence:true,preserve_evidence,True,True,4,repeat_4,0.0,1,True,1,0.1,1.0,2026-07-14T16:31:23.462344+00:00,"['preserve_evidence=True', 'transition_success=True', 'evidence_record_count=3', 'audit_completeness_score=1.0']"
